Symbol	Description
9B2W.SI	HSTECH 7xShortSG270309
9BMW.SI	Kuaisho 5xShortUB261030
9CI.SI	CapitaLandInvest
9DDW.SI	SMIC 5xShortUB270730
9E7W.SI	Netflix 3xLongSG280725
9E9W.SI	ValueMax W260914
9FOW.SI	AVGO 3xShortSG280420
9G2.SI	SAM Holdings
9I7.SI	Bromat
9IMW.SI	BYDElec 5xLongSG270914
9JPW.SI	Bilibili 5xShortSG270127
9KBW.SI	DBS 5xShortUB280731
9KBW.SI	DBS 5xShortUB280731
9KEW.SI	Baidu MB eCW260505
9L2W.SI	Palantir 3xShortSG280913
9LTW.SI	HKEx 5xShortSG280120
9MCW.SI	SMIC 5xLongUB270730
9MT.SI	METAOPTICS LTD
9NHW.SI	AdvancedSys W261224
9NPW.SI	Tencent 3xLongSG271125
9OJW.SI	DBS MB eCW260630
9PGW.SI	NIO MBeCW260520
9POW.SI	Alibaba MB ePW260703
9PXW.SI	Wilmar 5xShortSG270623
9QX.SI	B Wilshire Ltd
9RWW.SI	OCBC 5xLongSG280223
9SWW.SI	STEng 5xShortSG270712
9VHW.SI	Tencent 5xShortSG260513
9VW.SI	Spackman Entmt
9W8B.SI	NA24300E 540601
9WLW.SI	HSI 30800MBeCW260429
9X9W.SI	DJIA 7xLongSG280616
9XCW.SI	UOB 5xShortSG261217
9Y2W.SI	HSI 26800MBeCW260629
9YJW.SI	Venture 5xLongUB270630
9ZXW.SI	Trip.com 5xLongSG280223
9ZYW.SI	HSTECH 7xShortSG260605
A04.SI	ASL Marine
A17U.SI	CapLand Ascendas REIT
A30.SI	Aspial Corp
A31.SI	Addvalue Tech
A33.SI	Southern Arch
A35.SI	ABF SG BOND ETF
A50.SI	Thomson Medical
A52.SI	AnnAik
A55.SI	Asia Enterprises
A78.SI	Shen Yao
A7RU.SI	Kep Infra Tr
A93.SI	Amova Asia exJC S$
A94.SI	Amova Asia exJC US$
A95W.SI	Katrina W281008
AAJ.SI	SunMoonFood
ADN.SI	First Sponsor
AGS.SI	TheHourGlass
AIY.SI	IFAST
AJ2.SI	Ouhua Energy
AJBU.SI	Keppel DC Reit
AOF.SI	Amplefield Ltd
AP4.SI	Riverstone
AU8U.SI	CapLand China T
AVP.SI	AvePoint
AVX.SI	HL Global Ent
AW9U.SI	First Reit
AWC.SI	Brook Crompton
AWG.SI	Ascent Bridge
AWI.SI	Thakral
AWK.SI	Fuxing China
AWM.SI	Shanghai Turbo
AWV.SI	Captii
AWX.SI	AEM SGD
AWZ.SI	Multi-Chem
AYN.SI	Global Testing
AYV.SI	Acma
AZA.SI	IPC Corp
AZG.SI	8Telecom
AZR.SI	United Food
AZT.SI	NutryFarm
B00W.SI	HSI 3xLongSG280309
B0Z.SI	China Fishery
B28.SI	Bonvests
B49.SI	World Precision
B58.SI	Banyan Tree
B61.SI	Bukit Sembawang
B73.SI	Global Inv
B91W.SI	DISA W261218
BAC.SI	Camsing Hc
BAI.SI	Digilife Tech
BAZ.SI	Lion Asiapac
BBP.SI	Hor Kew
BBW.SI	Azeus
BCD.SI	China Yuanbang
BCV.SI	Qian Hu
BCY.SI	Powermatic Data
BCZ.SI	Travelite
BDA.SI	PNE Industries
BDR.SI	Willas-Array
BDU.SI	Federal Int
BDX.SI	GSH
BEC.SI	BRC Asia
BEH.SI	China Intl
BEI.SI	LHT
BEW.SI	JB Foods
BEZ.SI	Beng Kuang
BFI.SI	Tiong Seng
BFK.SI	Pharmesis Intl
BFT.SI	Lincotrade
BFU.SI	Tye Soon
BGO.SI	Universal Res
BHD.SI	China Mining
BHK.SI	SIIC Environment
BHU.SI	SUTL Enterprise
BIP.SI	Vibrant Group
BIX.SI	Ellipsiz
BJD.SI	VibroPower
BJGS.SI	NA16100H 460301
BJHS.SI	NX16100F 260601
BJIS.SI	NZ16100X 360801
BJV.SI	Yamada Green Res
BJZ.SI	Koda
BKA.SI	Sin Heng Mach
BKK.SI	Luxking
BKV.SI	Shenshan
BKW.SI	Datapulse Tech
BKX.SI	Yongmao
BKZ.SI	Suntar Eco-City
BLR.SI	Darco Water Tech
BLS.SI	Hotung Inv
BLU.SI	GRP
BLZ.SI	Advanced
BMGU.SI	BHG Retail Reit
BMT.SI	Coolan Group
BN2.SI	Valuetronics
BN4.SI	Keppel
BNE.SI	Kencana Agri
BPF.SI	YHI Intl
BQC.SI	A-Smart
BQD.SI	Envictus
BQF.SI	XMH
BQM.SI	Tiong Woon
BQN.SI	BH Global
BQP.SI	Southern Pkg
BRD.SI	Sapphire
BRS.SI	USP Group
BS6.SI	YZJ Shipbldg SGD
BSL.SI	Raffles Medical
BTE.SI	Bund Center
BTF.SI	Debao Property
BTG.SI	HG Metal
BTJ.SI	A-Sonic Aero
BTM.SI	Penguin Intl
BTOU.SI	ManulifeReit USD
BTP.SI	Baker Technology
BTWZ.SI	Hyflux 6% PerCapSec#
BTX.SI	Anchun Intl
BUOU.SI	Frasers L&C Tr
BVA.SI	Top Glove
BWCU.SI	EC World Reit
BWM.SI	Zheneng Jinjiang
BXE.SI	CDW
BYI.SI	PHIL AP DIV REIT US$
BYJ.SI	PHIL AP DIV REIT S$D
C04.SI	Casa
C05.SI	Chemical Ind
C06.SI	CSC
C07.SI	Jardine C&C
C09.SI	CityDev
C13.SI	CH Offshore
C2PU.SI	ParkwayLife Reit
C33.SI	Chuan Hup
C38U.SI	CapLand IntCom T
C41.SI	Cortina
C52.SI	ComfortDelGro
C6L.SI	SIA
C70.SI	CITYDEV NCCPS
C76.SI	Creative
C8R.SI	Jiutian Chemical
C9Q.SI	Sinostar Pec
CC3.SI	StarHub
CEDU.SI	Dasin Retail Tr
CFA.SI	Amova-STC Asia REIT
CHJ.SI	Uni-Asia Grp
CHZ.SI	HRnetGroup
CIN.SI	Courage Inv
CJLU.SI	NetLink NBN Tr
CJN.SI	B&M Hldg
CLN.SI	APAC Realty
CLR.SI	LION-PHILLIP S-REIT
CMGS.SI	NX18100A 280501
CMOU.SI	KOREReitUSD
CNE.SI	MindChamps
COI.SI	Amova-STC A_REIT US$
CRPU.SI	Sasseur Reit
CTO.SI	Hong Lai Huat
CVMW.SI	HSI 5xLongSG261029
CVSW.SI	HSCEI 7xShortSG280406
CWUW.SI	HSTECH 5xLongSG261029
CXN.SI	AmovaEFund ChiNext CNY
CXO.SI	AmovaEFund ChiNext US$
CXS.SI	UOBAM PINGAN CHINEXT S$
CXT.SI	AmovaEFund ChiNext S$
CXU.SI	UOBAM PINGAN CHINEXT US$
CXXW.SI	Nasdaq 7xShortSG261029
CY6U.SI	CapLand India T
CYB.SI	ICBC CSOP CGB ETF US$D
CYC.SI	ICBC CSOP CGB ETF S$
CYQW.SI	CityDev 5xLongUB280731
CYW.SI	TrickleStar
CYX.SI	ICBC CSOP CGB ETF US$A
CYZW.SI	SiMSCI 7xShortSG261029
CZRW.SI	HSI 5xShortSG261029
CZVW.SI	DJIA 7xShortSG261029
D01.SI	DFIRG USD
D03.SI	Del Monte Pac
D05.SI	DBS
D07.SI	SS SPDR DJIA USD
D5IU.SI	Landmark REIT
D8DU.SI	FSL Trust
DCRU.SI	DigiCore Reit USD
DHLU.SI	Daiwa Hse Log Tr
DM0.SI	PSC Corporation
DPNW.SI	CapInv 5xLongSG260716
DQXW.SI	SATS 5xLongSG260716
DRX.SI	ST Group Food
DU4.SI	Mermaid Maritime
DVSW.SI	Venture 5xLongSG260904
E27.SI	The Place Hldg
E28.SI	Frencken
E3B.SI	Wee Hur
E5H.SI	Golden Agri-Res
E6R.SI	Le Tree Holdings
E9L.SI	Joyas Intl
EAA.SI	Lion-CM EM Asia S$
EAPS.SI	NX22100W 320801
EAQW.SI	Nasdaq 7xShortUB270920
EAU.SI	Lion-CM EM Asia US$
EB5.SI	First Resources
ECJW.SI	HSTECH 3xLongSG280309
ECTW.SI	CMOB 5xLongSG270427
EDEW.SI	Nasdaq 7xLongUB271122
EH5.SI	UOA
EHZB.SI	FPTrea 4.49%270916XB#
EIKW.SI	Popmart 5xLongSG280316
EJUS.SI	N522100N 270901
ELCW.SI	PopMart MB eCW260505
EMI.SI	Emperador Inc.
EMMW.SI	AIA 5xShortUB270730
ENTW.SI	HKEx 5xLongSG270216
ENV.SI	LS 2 Holdings
EONW.SI	Geely 5xLongSG270907
EOOW.SI	CNOOC 5xShortSG260908
EOPW.SI	Meituan 5xLongUB270831
EPGW.SI	UOB MB ePW260930
EQLW.SI	SMIC 5xShortSG280316
ER0.SI	KSH
ES3.SI	SS SPDR STI ETF
ESG.SI	Lion-OSPL Low Carbon S$
ESU.SI	Lion-OSPL Low Carbon US$
EUCW.SI	HSI 7xShortSG270309
EUZW.SI	JD 5xLongSG261027
EVD.SI	Amova-STC CN EV US$
EVS.SI	Amova-STC CN EV S$
F03.SI	Food Empire
F10.SI	FJ Benjamin
F13.SI	Fu Yu
F17.SI	GuocoLand
F34.SI	Wilmar Intl
F83.SI	COSCO SHP SG
F86.SI	MYP
F99.SI	F & N
F9D.SI	Boustead
FBPW.SI	DBS MB ePW260730
FFIW.SI	Nasdaq 7xShortSG270519
FGEW.SI	HSI 24800MBePW260429
FGUW.SI	KingboardLa MB eCW260602
FHOW.SI	SIA 5xLongSG280516
FNBW.SI	Nasdaq 7xShortUB280320
FNNW.SI	Zijin 5xShortUB271126
FNTW.SI	HSTECH 7xShortSG270729
FNVW.SI	SIA MB eCW260930
FNYW.SI	Popmart 5xLongSG271216
FOEW.SI	HSI 22400MBePW260528
FQ7.SI	Salt Investments
FQCW.SI	DBS MB eCW260730
FQCW.SI	DBS MB eCW260730
FRDW.SI	NKY 47000MBePW260612
FRQ.SI	Sing Paincare
FTAW.SI	CityDev MBeCW260630
FTEW.SI	Sands 5xShortSG280202
FVBW.SI	DBS 5xShortSG280725
FVGW.SI	CapInv 5xLongUB270630
FXNW.SI	STEng 5xLongSG280223
FYFS.SI	N524100X 290401
G07.SI	Great Eastern
G0I.SI	Nam Lee Metal
G13.SI	Genting Sing
G1N.SI	Amundi MSIndia Sw US$
G20.SI	GP Industries
G3B.SI	Amova STI ETF S$D
G50.SI	Grand Banks
G92.SI	China Aviation
