Symbol	Description
OV8.SI	Sheng Siong
OVBW.SI	Xiaomi 5xShortUB260831
OVQ.SI	PHIL SING INC
OVS .SI	PHIL SING INC USD
OVYW.SI	Galaxy 5xShortSG280202
OXMU.SI	Prime US ReitUSD
OYY.SI	PropNex
P11.SI	Pacific Andes
P15.SI	Pacific Century
P34.SI	Delfi
P36.SI	Pan Hong
P40U.SI	StarhillGbl Reit
P52.SI	PanUnited
P74.SI	ChinaKangdaFood
P7VU.SI	HPH Trust SGD
P8A.SI	Cordlife
P8Z.SI	Bumitama Agri
P9D.SI	Civmec
PA3.SI	TA
PABW.SI	XIAOMI MBeCW260703
PBDW.SI	JD 5xShortSG280120
PCT.SI	PC Partner
PFTW.SI	Genting 5xLongSG261217
PGBW.SI	HSI 5xLongUB270831
PH0.SI	Hatten Land
PH1S.SI	NA12100N 420401
PJWW.SI	JD 5xLongUB260831
PKGW.SI	JD MB eCW260505
PODW.SI	APPLE 3xShortSG261006
PONW.SI	Kuaisho 5xLongSG280316
PPC.SI	ProsperCap
PPKW.SI	Nasdaq 5xLongUB271122
PRH.SI	Livingstone
PSIW.SI	Meituan 5xLongSG280120
PSJW.SI	Tencent 5xLongSG270930
PUHW.SI	HSI 28200MBePW261029
PZLW.SI	Alibaba 5xShortUB270831
PZRW.SI	Geely MB eCW260505
Q01.SI	QAF
Q0F.SI	IHH
Q0X.SI	Ley Choon
Q5T.SI	Far East HTrust
Q73W.SI	ShengSiong MBeCW260630
QABW.SI	SGX MB eCW260630
QAYW.SI	SATS 5xLongUB270630
QBNW.SI	Popmart 5xLongUB270730
QC7.SI	Q&M Dental
QDYW.SI	Wilmar 5xLongUB270630
QECW.SI	Kuaisho 5xLongUB261030
QES.SI	ChinaSunsine
QHTW.SI	NIO 5xLongSG271021
QHWW.SI	Alibaba 5xShortUB261030
QHXW.SI	BYDElec 5xLongUB270831
QK9.SI	IS INDIA CLIMATE S$D
QL2.SI	IS ASIA BND S$D
QL3.SI	IS ASIA HYG S$D
QNS.SI	SouthernAlliance
QPSW.SI	Kuaisho 5xShortSG280120
QQOW.SI	Sands 5xShortSG270331
QRRW.SI	HSI 28800MBeCW260629
QS9.SI	G Invacom
QSTW.SI	Lenovo 5xLongUB270630
QXCW.SI	Venture 5xLongSG280413
QZG.SI	Accrelist Ltd
QZTW.SI	Bilibili MB eCW260602
R14.SI	Eneco Energy
R18W.SI	YZJ 5xLongSG280413
R1NS.SI	NZ13100V 330901
R87S.SI	NX25100H 350301
RAYW.SI	First Sponsor W290321
RBFW.SI	DBS MB ePW260630
RC5.SI	Triyards
RCDW.SI	PingAn 5xLongSG280330
RCU.SI	Assurance HC
RDCW.SI	Seatrium 5xLongSG280223
RDR.SI	Incredible
RDSW.SI	BYD 5xShortSG261217
RE4.SI	Geo Energy Res
REGW.SI	BYD 3xShortSG271125
RHDW.SI	Alibaba 5xShortSG270907
RIDW.SI	SIMSCI 410MBePW260629
RLGW.SI	Micron 3xShortSG280913
RLKW.SI	HSI 23400MBePW260528
RLSW.SI	TESLA 3xShortSG280330
RNUW.SI	DBS 5xLongUB270730
RPEW.SI	SMIC 5xShortSG261223
RQ1.SI	Overseas Edu
RSFW.SI	SGX MB ePW260730
RTNW.SI	Baidu 5xShortUB271126
RUMW.SI	Alibaba 3xLongSG271125
RWJW.SI	Nasdaq 5xLongSG280330
RXS.SI	PacificRadiance
RXTW.SI	SiMSCI 7xShortSG280128
RZGW.SI	Baidu 5xLongSG280120
S07.SI	Shangri-La HKD
S08.SI	SingPost
S19.SI	SingShipping
S20.SI	Straits Trading
S23.SI	Spura Finance
S27.SI	SS SPDR S&P500 USD
S29.SI	Stamford Tyres
S2D.SI	Tosei
S35.SI	Sing Inv & Fin
S3N.SI	GRC
S41.SI	Hong Leong Fin
S44.SI	EnGro
S45U.SI	SingIndexFund
S56.SI	SamuderaShipping
S58.SI	SATS
S59.SI	SIA Engineering
S61.SI	SBS Transit
S63.SI	ST Engineering
S68.SI	SGX
S69.SI	Serial System
S71.SI	Sunright
S7OU.SI	Asian Pay Tv Tr
S85.SI	Straco
S9B.SI	Amcorp Global
SARW.SI	XPeng 5xShortUB270831
SBO.SI	A Lion Short Bond S$
SBV.SI	A Lion Short Bond US$
SCY.SI	CSOP Star&Chinext50 S$
SDWW.SI	HSI 7xShortUB280229
SEB.SI	Stoneweg EUTrust SGD
SEG.SI	CONCORD NE
SEJ.SI	NoonTalk Media
SEKW.SI	CLIFE 5xShortUB270730
SES.SI	Shanaya
SET.SI	Stoneweg EUTrust EUR
SGR.SI	Sheffield Green
SHD.SI	CSOP DIV ETF S$
SHE.SI	Soon Hock
SHVS.SI	N523100W 280801
SIMW.SI	Geely 5xShortUB280731
SJRW.SI	NetEase 5xShortSG261027
SJY.SI	MeGroup
SLRW.SI	Xiaomi 5xShortSG260908
SO7.SI	YZJ Shipbldg CNY
SPOW.SI	Tencent 3xShortSG271125
SPTW.SI	NKY 49000MBeCW260612
SQQ.SI	CSOP SEA TECH ETF S$
SQU.SI	CSOP SEA TECH ETF US$
SRT.SI	CSOP iEdge SREIT ETF S$
SRU.SI	CSOP iEdge SREIT ETF US$
SSLW.SI	HSCEI 7xLongUB270430
SSS.SI	P-Nova Short MSSG-1X S$
SSU.SI	P-Nova Short MSSG-1X US$
SSYW.SI	HKEx MB eCW260804
STC.SI	Comba
STG.SI	Sri Trang Gloves
STTS.SI	NX24100T 340501
STYW.SI	YZJ 5xShortSG280413
SUN.SI	CSOP CS A500 ETF S$
SWKW.SI	CATL 5xLongUB270730
SWTW.SI	S&P 7xLongSG280616
SXDW.SI	HSI 23400MBePW260730
SXUW.SI	CMOB 5xLongUB270831
SYHW.SI	HSTECH 7xLongSG271216
SYOW.SI	XIAOMI MBeCW261103
SZLW.SI	PetroCH 5xShortSG270331
SZWW.SI	DBS 5xShortSG261217
T12.SI	Tat Seng Pkg
T13.SI	RH PetroGas
T14.SI	TJ DaRenTang USD
T15.SI	TCIL HK$
T24.SI	Tuan Sing
T41.SI	TeleChoice Intl
T43.SI	Yunnan Energy
T4B.SI	Sino Grandness
T55.SI	TIH
T6I.SI	ValueMax
T82U.SI	Suntec Reit
T8FS.SI	NY14100E 290701
TADD.SI	AIS TH SDR 10to1
TAP.SI	TAP
TATD.SI	Airports TH TH SDR1to1
TBDD.SI	BDMS TH SDR 1to2
TBGW.SI	HSCEI 7xShortUB270630
TBPW.SI	NIO MBeCW260826
TCPD.SI	CP All TH SDR 1to1
TCU.SI	CreditBureauAsia
TDDW.SI	Lenovo 5xLongSG261027
TDED.SI	Delta TH SDR 1to1
TEMB.SI	Temasek 1.8% 261124XB#
TGUD.SI	Gulf Dev TH SDR 1to1
TID.SI	XT MSCHINA S$
TKKD.SI	Kasikorn BK TH SDR1to1
TKU.SI	Toku Ltd
TLAW.SI	DJIA 7xShortUB280320
TNUW.SI	HSI 7xLongSG271116
TPED.SI	PTTEP TH SDR 1to1
TPFD.SI	CP Foods TH SDR 1to2
TPWW.SI	CityDev MBeCW260930
TQ5.SI	Frasers Property
TS0U.SI	OUEREIT
TSCD.SI	SiamCement TH SDR10to1
TSH.SI	TSH Resources
TSTW.SI	TESLA 3xLongSG261204US$
TSUW.SI	TESLA 3xShortSG261204US$
TSXW.SI	TESLA 3xShortSG261006
TSYW.SI	TESLA 3xLongSG261006
TUAW.SI	OCBC 5xLongSG261217
TVV.SI	OxPay Financial
TWL.SI	Memiontec Hldgs
TYFW.SI	NetEase 5xLongUB280731
U06.SI	SingaporeLandGrp
U10.SI	UOB Kay Hian
U11.SI	UOB
U13.SI	UOI
U14.SI	UOL
U77.SI	Sarine Tech
U96.SI	Sembcorp Ind
U9E.SI	China Everbright
UAHW.SI	S&P 7xShortSG280406
UAHW.SI	S&P 7xShortSG280406
UCCW.SI	UOB MB ePW260723
UCFW.SI	OCBC Bk MB eCW260730
UD1U.SI	IREIT Global SGD
UDYW.SI	Geely 5xShortUB270630
UGS.SI	ULTRAGREEN AI SGD
UHJW.SI	CLIFE 5xLongUB270730
UIBU.SI	UIBREIT
UIJW.SI	Kuaisho MB eCW260505
UIX.SI	China EnvRes
UJUW.SI	YangzijiMBeCW260630
ULBW.SI	JD 5xShortSG260513
ULG.SI	ULTRAGREEN AI USD
UMCW.SI	HSTECH 7xLongSG261105
UMEW.SI	BYD 5xLongSG270907
UOLW.SI	Meituan 5xLongSG261027
UOOW.SI	SATS 5xLongSG280223
UPD.SI	UOBAM PA FT ASEAN DV S$
UPU.SI	UOBAM PA FT ASEAN DV US$
UQAW.SI	Bilibili 5xShortSG280120
UQKW.SI	STEng 5xLongSG270712
URR.SI	Sim Leisure
USAW.SI	AMZN 3xLongSG261006
USBW.SI	AMZN 3xShortSG261006
USDW.SI	META 3xLongSG261006
USFW.SI	META 3xShortSG261006
USGW.SI	MSFT 3xLongSG261006
USHW.SI	MSFT 3xShortSG261006
USJW.SI	ALPHAB 3xLongSG261006
USPW.SI	ALPHAB 3xShortSG261006
USQW.SI	AMZN 3xLongSG261204US$
USRW.SI	AMZN 3xShortSG261204US$
USTW.SI	META 3xLongSG261204US$
USUW.SI	META 3xShortSG261204US$
USWW.SI	MSFT 3xLongSG261204US$
USXW.SI	MSFT 3xShortSG261204US$
USYW.SI	ALPHAB 3xLongSG261204US$
USZW.SI	ALPHAB3xShortSG261204US$
UTNW.SI	Nasdaq 3xLongSG280309
UTOW.SI	HSI 7xShortUB280331
UUK.SI	Pasture Holdings
UV1.SI	Regal Intl
UVHW.SI	Singtel 5xShortSG261217
UVTW.SI	OCBC Bk MB ePW260630
UY7W.SI	PetroCH 5xShortUB280731
UYNW.SI	Sunny 5xShortSG270112
UZF.SI	Dezign Format
UZGW.SI	Meituan 5xShortUB280731
UZHW.SI	HKEx 5xLongUB270630
UZMW.SI	Sembcorp 5xLongSG270623
V03.SI	Venture
V1LW.SI	SIA MB eCW260630
V1XW.SI	Sembcorp 5xLongUB280731
V2OR.SI	MDR Limited R1
V2UW.SI	Baidu 5xShortSG270930
V2Y.SI	OceanScape Intl
V3M.SI	Metech Intl
V3XW.SI	NKY 59000MBeCW260612
V5PW.SI	NKY 62000MBeCW260911
V7AB.SI	Astrea7A1 4.125%320527#
V7BB.SI	Astrea7B 6%320527#
V7R.SI	ResourcesGbl
V8QW.SI	OCBC Bk MB ePW260930
V8Y.SI	Quantum Health
V8ZW.SI	Alibaba MB eCW260804
VBFW.SI	BYD MB eCW260602
VC2.SI	Olam Group
VCFW.SI	XIAOMI MBeCW260602
VCMW.SI	Sands 5xLongUB270630
VDPW.SI	SingtelMBeCW260630
VFNW.SI	Meituan 5xShortUB260529
VHXW.SI	HSI 7xShortSG261105
VI2.SI	TC Auto
VI8W.SI	UOB MB eCW260630
VIN.SI	Vins Holdings
VJ7W.SI	UOB MB ePW260630
VK8.SI	UOBAM FTSE CN A50 US$
VKFW.SI	HSI 28800MBeCW260429
VLLW.SI	Kuaisho 5xLongSG261217
VLMW.SI	Bilibili 5xLongSG280316
VLUW.SI	Galaxy 5xShortUB270831
VLVW.SI	H2G Green W271211
VMZW.SI	UOB 5xLongUB280731
VND.SI	CF VN 30 SC ETF US$
VNM.SI	CF VN 30 SC ETF SG$
VSQW.SI	HSCEI 7xLongSG271116
VT2W.SI	17LIVE W281207
VTMW.SI	XPeng 5xLongSG270216
VU8W.SI	CLIFE MBeCW260804
VVL.SI	AlphaDX
VWKW.SI	PetroCH 5xLongUB280731
VXRW.SI	HSI 3xShortSG280309
W05.SI	Wing Tai
W1AW.SI	Palantir 3xLongSG280913
W1XW.SI	Incredible W240204
W3QW.SI	BYD 3xLongSG271125
W5BW.SI	Nasdaq 7xShortSG280616
W5UB.SI	RafflesEd 6%cb270923
W7QW.SI	Baidu MB eCW261005
W7XW.SI	Tencent 5xShortSG270827
W8OW.SI	HSTECH 7xShortSG261105
W8W.SI	Coliwoo Hldgs
W9AW.SI	UOB 5xLongSG261217
WBAW.SI	PingAn 5xShortSG260908
WC5W.SI	Baidu 5xShortSG261223
WDHW.SI	Seatrium MB eCW260930
WF0W.SI	Sunny 5xLongSG280316
WIAW.SI	Galaxy 5xLongSG270827
WIBW.SI	NASDAQ 21500MBePW260918
WIEW.SI	HSI 5xShortSG280330
WJ9.SI	AdvancedSystems
WJP.SI	VICOM Ltd
WKS.SI	WinkingStudios
WKUW.SI	CityDev MBeCW260730
WL5W.SI	Sands 5xLongSG270331
WLWW.SI	Alibaba MB eCW260505
WMWW.SI	Geely 5xLongUB270630
WMYW.SI	HSI 31600MBeCW260429
WNH.SI	Autagco Ltd
WNTW.SI	SembInd MBeCW260630
WPC.SI	Vallianz
WPWW.SI	Baidu 5xShortUB270630
WTUW.SI	NKY 54000MBeCW260612
WWRW.SI	Netflix 3xShortSG280725
WWRW.SI	Netflix 3xShortSG280725
WWZW.SI	SMIC 5xLongSG280316
WYHW.SI	HSTECH 7xLongSG261105A
WYMW.SI	Comfort 5xLongSG280413
X0TW.SI	CLIFE MBeCW260602
X3FW.SI	HSI 7xShortSG280202
X5N.SI	Avarga Ltd
X6UW.SI	HKEx 5xShortUB260831
X7GW.SI	Sembcorp 5xShortSG270331
X7NW.SI	PopMart MB ePW260602
XB3W.SI	Zijin 5xLongUB271126
XB4W.SI	Alibaba MB eCW260703
XCF.SI	KTMG
XCVW.SI	CityDev 5xLongSG270930
XEFW.SI	HSI 28000MBePW260629
XEGW.SI	Sunny 5xShortSG260908
XFAW.SI	Geely 5xShortSG280413
XFEW.SI	XPeng 5xShortSG280202
XGZW.SI	Baidu 5xLongUB270630
XH2W.SI	HSI 7xLongUB270226
XHMW.SI	HSTECH 7xShortUB261130
XHV.SI	Serial Achieva
XJB.SI	GHY Culture
XKIW.SI	HSI 23800MBePW260429
XN7W.SI	Kuaisho 5xShortSG260908
XNEW.SI	Singtel 5xLongSG280307
XNFW.SI	SMIC 5xShortUB270831
XNOW.SI	HSTECH 7xShortSG280120
XOZW.SI	Alibaba 3xShortSG271125
XP0W.SI	Sands 5xShortUB270630
XP7W.SI	Xiaomi 5xLongUB260831
XPAW.SI	SembInd MBeCW260930
XPJW.SI	HSBC 5xLongUB270730
XPKW.SI	Xiaomi 3xLongSG271125
XRFW.SI	HSI 24800MBePW260629
XRXW.SI	HSTECH 7xLongSG280316
XSG.SI	XT MS SING S$
XTJW.SI	ShengSiong MBeCW260930
XUNW.SI	PingAn 5xLongUB270630
XV4W.SI	HSI 26400MBeCW260528
XVG.SI	$ Aedge Group
XWA.SI	AEM USD
XWBW.SI	CLIFE MBePW260602
XX5W.SI	STEng MBeCW260630
XX8W.SI	Sunny 5xLongUB270630
XXRW.SI	Alibaba 5xShortUB260529
XZB .SI	Skylink
XZL.SI	Acro HTrust USD
Y03.SI	Yeo Hiap Seng
Y06.SI	Green Build
Y1WW.SI	DJIA 7xShortUB261221
Y2FW.SI	UOB MB eCW260930
Y35.SI	AnAn Intl
Y3D.SI	MDR Limited
Y3KW.SI	NASDAQ 26000MBeCW260918
Y8E.SI	Samurai 2K
Y92.SI	ThaiBev
Y9AW.SI	HSI 25800MBePW260429
Y9GW.SI	HSTECH 3xShortSG280309
YA1B.SI	Astrea9A1 3.4%400808#
YA2B.SI	Astrea9A2 5.7%400808#
YCJW.SI	XPeng 5xLongSG271216
YCQW.SI	Galaxy 5xLongUB270630
YCRW.SI	Keppel 5xShortSG280725
YDAW.SI	HSI 22800MBePW260629
YDKW.SI	JD 5xLongUB271126
YF8.SI	YZJ Fin Hldg
YFQW.SI	SingtelMBeCW261030
YHSW.SI	NKY 55000MBePW260911
YK9.SI	YKGI
YKEW.SI	Keppel 5xShortSG270706
YL4W.SI	S&P 7200MBeCW260619
YLD.SI	Lion-OSPL APAC Fin S$
YLU.SI	Lion-OSPL APAC Fin US$
YMWW.SI	S&P 6300MBePW260619
YNVW.SI	HSI 7xShortUB270630
YO8W.SI	BYD MB eCW261005
YODW.SI	PetroCH 5xShortSG280202
YPCW.SI	HSTECH 7xLongSG270331
YPLW.SI	Keppel 5xLongSG280725
YR3W.SI	PopMart MB ePW260703
YR6W.SI	HSI 27800MBeCW260629
YR6W.SI	HSI 27800MBeCW260629
YSHW.SI	Geely 5xShortSG270827
YSV.SI	Khen Energy
YTMW.SI	STEng MBeCW260930
YUYW.SI	Nasdaq 5xShortUB270920
YVEW.SI	Seatrium MB eCW260630
YVRW.SI	HSTECH 5xShortSG261105
YW5W.SI	Xiaomi 5xShortSG261223
YWQW.SI	Meituan MB eCW260804
YYB.SI	BACUI TECH
YYQW.SI	HSI 24400MBeCW260629
YYR.SI	Lion-OSPL China L CNY
YYY.SI	Lion-OSPL China L S$
YYZW.SI	Tencent 5xLongSG280202
Z1AB.SI	Astrea8A1 4.35%390719#
Z1DW.SI	SIA 5xLongUB261030
Z25.SI	Yanlord Land
Z2AB.SI	Astrea8A2 6.35%390719#
Z2RW.SI	HSI 20800MBePW260629
Z3RW.SI	Beng Kuang W270904
Z4D.SI	MediLifestyle
Z4LW.SI	Xiaomi 5xLongSG271116
Z4WW.SI	AMD 3xLongSG280420
Z59.SI	Yoma Strategic
Z5TW.SI	DBS 5xLongSG280223
Z5WW.SI	CapInv 5xLongSG280725
Z74.SI	Singtel
Z77.SI	Singtel 10
Z7MW.SI	Alibaba 5xShortSG270309
Z8TW.SI	AVGO 3xLongSG280420
ZAXW.SI	SMIC 5xShortSG270930
ZB9.SI	UnionSteel
ZBA.SI	Infinity Dev
ZBLW.SI	PingAn 5xLongSG280223
ZBTW.SI	Popmart 5xShortSG270706
ZC8W.SI	CapInv 5xShortSG270623
ZCAW.SI	Genting 5xLongUB270630
ZDBW.SI	SIA 5xShortSG270427
ZFGS.SI	NA21200W 511001
ZFIW.SI	Wilmar MB eCW260630
ZHD.SI	Amova-ICBCSG CNB US$
ZHS.SI	Amova-ICBCSG CNB S$
ZHY.SI	Amova-ICBCSG CNB CNY
ZKX.SI	Ever Glory
ZL8S.SI	NA20100F 500301
ZLBW.SI	YangzijiMBeCW260930
ZOGW.SI	HSI 7xLongSG270623
ZPGW.SI	Alibaba 5xShortSG280120
ZQM.SI	SoilbuildConstr
ZSHW.SI	Zijin 5xLongSG271021
ZSYW.SI	DJIA 7xShortSG280616
ZVNW.SI	Alibaba 5xLongSG270712
ZVUW.SI	Top GloveW300209
ZYBW.SI	HSI 7xShortSG260605
ZYGW.SI	ALPHAB 3xLongSG280616
